NOM,TYPE,GROUPE DE RESSOURCES,EMPLACEMENT,ABONNEMENT
"CISACAzUSFTP","Adresse IP publique","ISWCUAT","West Europe","CISAC"
"CISACAzUSFTP-OS","Disque","ISWCUAT","West Europe","CISAC"
"CISACDev","Réseau virtuel","CoreDev","West Europe","CISAC"
"cisacdev","Coffre de clés","ManagementDev","West Europe","CISAC"
"cisacdiagdev","Compte de stockage","ManagementDev","West Europe","CISAC"
"cisacdiagprod","Compte de stockage","ManagementProd","West Europe","CISAC"
"cisacdiaguat","Compte de stockage","ManagementUAT","West Europe","CISAC"
"cisaciswcapidev","App Service","ISWCDev","West Europe","CISAC"
"cisaciswcapidev","Application Insights","ISWCDev","West Europe","CISAC"
"cisaciswcapilabeldev","App Service","ISWCDev","West Europe","CISAC"
"cisaciswcapilabeldev","Application Insights","ISWCDev","West Europe","CISAC"
"cisaciswcapilabelprod","App Service","ISWCProd","West Europe","CISAC"
"cisaciswcapilabelprod","Application Insights","ISWCProd","West Europe","CISAC"
"cisaciswcapilabelprod - POST AddLabelSubmissionBatch","Règle d’alerte de recherche dans les journaux","ISWCProd","West Europe","CISAC"
"cisaciswcapilabeluat","App Service","ISWCUAT","West Europe","CISAC"
"cisaciswcapilabeluat","Application Insights","ISWCUAT","West Europe","CISAC"
"cisaciswcapilabeluat/cisaciswcapilabeluat-temp","App Service (emplacement)","iswcuat","West Europe","CISAC"
"cisaciswcapiprod","Application Insights","ISWCProd","West Europe","CISAC"
"cisaciswcapiprod","App Service","iswcprod","West Europe","CISAC"
"cisaciswcapiprod-POST SearchByTitleAndContributor","Règle d’alerte de recherche dans les journaux","ManagementProd","West Europe","CISAC"
"cisaciswcapipublisherdev","App Service","ISWCDev","West Europe","CISAC"
"cisaciswcapipublisherdev","Application Insights","ISWCDev","West Europe","CISAC"
"cisaciswcapipublisherprod","App Service","ISWCProd","West Europe","CISAC"
"cisaciswcapipublisherprod","Application Insights","ISWCProd","West Europe","CISAC"
"cisaciswcapipublisheruat","App Service","ISWCUAT","West Europe","CISAC"
"cisaciswcapipublisheruat","Application Insights","ISWCUAT","West Europe","CISAC"
"cisaciswcapipublisheruat/temp","App Service (emplacement)","iswcuat","West Europe","CISAC"
"cisaciswcapithirdpartydev","App Service","ISWCDev","West Europe","CISAC"
"cisaciswcapithirdpartydev","Application Insights","ISWCDev","West Europe","CISAC"
"cisaciswcapithirdpartyprod","App Service","ISWCProd","West Europe","CISAC"
"cisaciswcapithirdpartyprod","Application Insights","ISWCProd","West Europe","CISAC"
"cisaciswcapithirdpartyuat","App Service","ISWCUAT","West Europe","CISAC"
"cisaciswcapithirdpartyuat","Application Insights","ISWCUAT","West Europe","CISAC"
"cisaciswcapiuat","App Service","ISWCUAT","West Europe","CISAC"
"cisaciswcapiuat","Application Insights","ISWCUAT","West Europe","CISAC"
"cisaciswcapiuat/temp","App Service (emplacement)","iswcuat","West Europe","CISAC"
"cisaciswcdatabricksdev","Compte de stockage","ISWCDev","West Europe","CISAC"
"cisaciswcdatabricksprod","Compte de stockage","ISWCProd","West Europe","CISAC"
"cisaciswcdatabricksuat","Compte de stockage","ISWCUAT","West Europe","CISAC"
"cisaciswcdev","Service Gestion des API","ISWCDev","West Europe","CISAC"
"cisaciswcdev","Data Factory (V2)","ISWCDev","West Europe","CISAC"
"cisaciswcdev","Azure Cosmos DB account","ISWCDev","West Europe","CISAC"
"cisaciswcdev","Coffre de clés","ISWCDev","West Europe","CISAC"
"cisaciswcdev","Application Insights","ISWCDev","West Europe","CISAC"
"cisaciswcdev","Compte Automation","ManagementDev","West Europe","CISAC"
"cisaciswcdevautomation","Compte de stockage","ManagementDev","West Europe","CISAC"
"cisaciswcjobsdev","Compte de stockage","ISWCDev","West Europe","CISAC"
"cisaciswcjobsdev","Application de fonction","ISWCDev","West Europe","CISAC"
"cisaciswcjobsdev","Application Insights","ISWCDev","West Europe","CISAC"
"cisaciswcjobsprod","Compte de stockage","ISWCProd","West Europe","CISAC"
"cisaciswcjobsprod","Application de fonction","ISWCProd","West Europe","CISAC"
